journey_id,start_lat,start_lon
9448070ece760ea5386e5d4822121a6c,-12.08969627,-77.03574926
7abecd4f47c2c1d5390d86eb221babff,-12.0834957,-77.0493404
b8ae7685c97ef64f90a646a3b97ed4c0,-12.074953,-77.030404
eddbb47ea9e1646ee81e528c8ffe4d1e,-12.09266663,-77.04122925
62c2e39787aa19cd2513901cf3b4dc5e,-12.09685516,-77.03717041
6a93cb8cf1ff4234508a40e9510ab45e,-12.09508896,-77.03811646
ca13468934fa8659e66961aa4cfb2adb,-12.09900665,-77.05831909
c3500f8a4f27db46fc9d42e2057d71ef,-12.09612383,-77.04458311
c3500f8a4f27db46fc9d42e205e947f8,-12.09620513,-77.04465788
a37ccff55ca3cff97b19b45ab21538ae,-12.09636445,-77.04478092
b6206048fbda6d454ead4fa2b48ff9f1,-12.09637888,-77.04474505
cd5b1508243ee5653060d649cf2e2570,-12.09627922,-77.04475075
6d1272a9f6c5ca3c5ef4cd4f224cbf38,-12.10044986,-77.05235414
684e09fb0761605e25d148f3d3091ffc,-12.09620415,-77.04479299
5b0867dfbb1a35be6e0e3586efa8cac2,-12.1031456,-77.04937744
ddda7d9d71d2000dcf144987a3ea3d61,-12.10496521,-77.04000854
12c472dd8efc6ed622ae8669254163de,-12.09415054,-77.03494263
123b753a17ca12f7fb7c4ec96f027801,-12.07596565,-77.04806261
89fd8ac7daadd2abc77de73df5e63d9e,-12.09922409,-77.04251099
b7a32d99cb529c222ba891396ead707a,-12.10409527,-77.04802707
1881c928349fa432c4c0cb4434bc64e2,-12.10663605,-77.04598999
b3ba9cda1b124b4fdc5d639f24149c7d,-12.09754562,-77.03405762
cf3a94138caddceb3209e472360b36ab,-12.09941483,-77.04284668
6f227c1c392ee8c8a8ffe23b71ea39d4,-12.09311295,-77.05612183
4d927d7f8dfb365a7c0f28115e161bfd,-12.09593204,-77.06202887
5d6461d64d5ac0908490da67e5f97935,-12.09804916,-77.04452515
ca13468934fa8659e66961aa4c7c6a3b,-12.10493851,-77.04260254
